epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4148.74,0.98859,1.55572,0.94283,1.11082,0.72089,0.6,0.61167,0.28028,0.99674,0.8,0.8253,0.43314,1.7085,3.10695,2.25397,1.90122,0.000911,0.000911,0.000911
57,4219.01,0.98609,1.70672,0.96092,1.11016,0.94795,0.6,0.66975,0.24176,0.78395,0.8,0.7853,0.38439,2.18805,3.24891,1.96771,2.52182,0.0008912,0.0008912,0.0008912
58,4284.56,1.00499,1.63272,0.92049,1.15242,0.94433,0.6,0.68282,0.27095,0.79029,0.8,0.78948,0.43393,2.14028,2.89469,2.13594,2.50361,0.0008714,0.0008714,0.0008714
59,4345.89,1.04103,1.69652,0.91854,1.14252,0.98148,0.6,0.68667,0.26699,0.79611,0.78444,0.79667,0.45299,2.12802,2.59956,2.09198,2.43692,0.0008516,0.0008516,0.0008516
60,4407.83,0.99027,1.69997,0.91356,1.11719,0.37491,1,0.62577,0.29795,0.37491,1,0.6497,0.38554,1.89568,2.77478,2.16849,2.05074,0.0008318,0.0008318,0.0008318
61,4472.63,1.04167,1.69097,0.92525,1.20021,0.38739,0.8,0.49198,0.24661,0.48683,1,0.62833,0.36862,2.20864,2.86592,2.00206,2.3246,0.000812,0.000812,0.000812
62,4538.76,0.94733,1.57893,0.89169,1.11131,0.73267,0.55841,0.59907,0.28013,0.61424,0.95984,0.745,0.42344,2.0393,2.74506,1.99424,2.225,0.0007922,0.0007922,0.0007922
63,4606.54,1.01444,1.64175,0.88803,1.13546,0.71192,0.6,0.57845,0.23783,0.79875,0.79502,0.775,0.40285,2.15334,2.61836,1.90656,2.26193,0.0007724,0.0007724,0.0007724
64,4679.07,0.92377,1.57817,0.86322,1.07222,0.94994,0.6,0.65452,0.27808,0.94994,0.6,0.79976,0.45139,1.92992,2.38588,2.07763,2.16729,0.0007526,0.0007526,0.0007526
65,4737.26,1.01837,1.58661,0.83973,1.09936,0.71907,0.6,0.69643,0.29953,0.71907,0.6,0.73071,0.44475,1.97536,2.20497,1.82637,2.12327,0.0007328,0.0007328,0.0007328
